project_id,year,period_ending_date,budget_component,usd_planned,actuals_usd,forecast_usd
PROJ-0001,2024,2024-02-09,Total Revenue,303759.62,334850.05,
PROJ-0001,2024,2024-02-09,Total Cost,167984.73,185776.22,
PROJ-0001,2024,2024-02-09,Total Margin,167984.73,149073.83,
PROJ-0001,2024,2024-03-08,Fees Revenue,,293747.75,
PROJ-0001,2024,2024-03-08,Fees Cost,,144303.05,
PROJ-0001,2024,2024-03-08,Fees Margin,,149444.7,
PROJ-0001,2024,2024-03-08,Expenses Revenue,,20161.59,
PROJ-0001,2024,2024-03-08,Expenses Cost,,20161.59,
PROJ-0001,2024,2024-03-08,Expenses Margin,,0.0,
PROJ-0001,2024,2024-03-08,Risk Reserve - Revenue,,18320.05,
PROJ-0001,2024,2024-03-08,Risk Reserve - Cost,,18320.05,
PROJ-0001,2024,2024-03-08,Risk Reserve - Margin,,0.0,
PROJ-0001,2024,2024-03-08,Total Revenue,303759.62,332229.39,
PROJ-0001,2024,2024-03-08,Total Cost,167984.73,182784.69,
PROJ-0001,2024,2024-03-08,Total Margin,167984.73,149444.7,
PROJ-0001,2024,2024-04-05,Fees Revenue,,282021.89,
PROJ-0001,2024,2024-04-05,Fees Cost,,139664.86,
PROJ-0001,2024,2024-04-05,Fees Margin,,142357.03,
PROJ-0001,2024,2024-04-05,Expenses Revenue,,16512.77,
PROJ-0001,2024,2024-04-05,Expenses Cost,,16512.77,
PROJ-0001,2024,2024-04-05,Expenses Margin,,0.0,
PROJ-0001,2024,2024-04-05,Risk Reserve - Revenue,,17588.75,
PROJ-0001,2024,2024-04-05,Risk Reserve - Cost,,17588.75,
PROJ-0001,2024,2024-04-05,Risk Reserve - Margin,,0.0,
PROJ-0001,2024,2024-04-05,Total Revenue,303759.62,316123.41,
PROJ-0001,2024,2024-04-05,Total Cost,167984.73,173766.38,
PROJ-0001,2024,2024-04-05,Total Margin,167984.73,142357.03,
PROJ-0001,2024,2024-05-03,Fees Revenue,,270964.47,
PROJ-0001,2024,2024-05-03,Fees Cost,,133826.09,
PROJ-0001,2024,2024-05-03,Fees Margin,,137138.38,
PROJ-0001,2024,2024-05-03,Expenses Revenue,,18800.87,
PROJ-0001,2024,2024-05-03,Expenses Cost,,18800.87,
PROJ-0001,2024,2024-05-03,Expenses Margin,,0.0,
PROJ-0001,2024,2024-05-03,Risk Reserve - Revenue,,16899.13,
PROJ-0001,2024,2024-05-03,Risk Reserve - Cost,,16899.13,
PROJ-0001,2024,2024-05-03,Risk Reserve - Margin,,0.0,
PROJ-0001,2024,2024-05-03,Total Revenue,303759.62,306664.47,
PROJ-0001,2024,2024-05-03,Total Cost,167984.73,169526.09,
PROJ-0001,2024,2024-05-03,Total Margin,167984.73,137138.38,
PROJ-0002,2023,2023-03-09,Fees Revenue,,311971.53,
PROJ-0002,2023,2023-03-09,Fees Cost,,154254.96,
PROJ-0002,2023,2023-03-09,Fees Margin,,157716.57,
PROJ-0002,2023,2023-03-09,Expenses Revenue,,8462.16,
PROJ-0002,2023,2023-03-09,Expenses Cost,,8462.16,
PROJ-0002,2023,2023-03-09,Expenses Margin,,0.0,
PROJ-0002,2023,2023-03-09,Risk Reserve - Revenue,,0.0,
PROJ-0002,2023,2023-03-09,Risk Reserve - Cost,,0.0,
PROJ-0002,2023,2023-03-09,Risk Reserve - Margin,,0.0,
PROJ-0002,2023,2023-03-09,Total Revenue,311147.61,320433.69,
PROJ-0002,2023,2023-03-09,Total Cost,159304.2,162717.12,
PROJ-0002,2023,2023-03-09,Total Margin,159304.2,157716.57,
PROJ-0002,2023,2023-04-06,Fees Revenue,,280756.56,
PROJ-0002,2023,2023-04-06,Fees Cost,,139189.17,
PROJ-0002,2023,2023-04-06,Fees Margin,,141567.39,
PROJ-0002,2023,2023-04-06,Expenses Revenue,,7911.99,
PROJ-0002,2023,2023-04-06,Expenses Cost,,7911.99,
PROJ-0002,2023,2023-04-06,Expenses Margin,,0.0,
PROJ-0002,2023,2023-04-06,Risk Reserve - Revenue,,0.0,
PROJ-0002,2023,2023-04-06,Risk Reserve - Cost,,0.0,
PROJ-0002,2023,2023-04-06,Risk Reserve - Margin,,0.0,
PROJ-0002,2023,2023-04-06,Total Revenue,311147.61,288668.55,
PROJ-0002,2023,2023-04-06,Total Cost,159304.2,147101.16,
PROJ-0002,2023,2023-04-06,Total Margin,159304.2,141567.39,
PROJ-0002,2023,2023-05-04,Fees Revenue,,273563.55,
PROJ-0002,2023,2023-05-04,Fees Cost,,135618.42,
PROJ-0002,2023,2023-05-04,Fees Margin,,137945.13,
PROJ-0002,2023,2023-05-04,Expenses Revenue,,8300.92,
PROJ-0002,2023,2023-05-04,Expenses Cost,,8300.92,
PROJ-0002,2023,2023-05-04,Expenses Margin,,0.0,
PROJ-0002,2023,2023-05-04,Risk Reserve - Revenue,,0.0,
PROJ-0002,2023,2023-05-04,Risk Reserve - Cost,,0.0,
PROJ-0002,2023,2023-05-04,Risk Reserve - Margin,,0.0,
PROJ-0002,2023,2023-05-04,Total Revenue,311147.61,281864.47,
PROJ-0002,2023,2023-05-04,Total Cost,159304.2,143919.34,
PROJ-0002,2023,2023-05-04,Total Margin,159304.2,137945.13,
PROJ-0002,2023,2023-06-01,Fees Revenue,,278729.5,
PROJ-0002,2023,2023-06-01,Fees Cost,,138242.42,
PROJ-0002,2023,2023-06-01,Fees Margin,,140487.08,
PROJ-0002,2023,2023-06-01,Expenses Revenue,,11079.51,
PROJ-0002,2023,2023-06-01,Expenses Cost,,11079.51,
PROJ-0002,2023,2023-06-01,Expenses Margin,,0.0,
PROJ-0002,2023,2023-06-01,Risk Reserve - Revenue,,0.0,
PROJ-0002,2023,2023-06-01,Risk Reserve - Cost,,0.0,
PROJ-0002,2023,2023-06-01,Risk Reserve - Margin,,0.0,
PROJ-0002,2023,2023-06-01,Total Revenue,311147.61,289809.01,
PROJ-0002,2023,2023-06-01,Total Cost,159304.2,149321.93,
PROJ-0002,2023,2023-06-01,Total Margin,159304.2,140487.08,
PROJ-0003,2024,2024-01-25,Fees Revenue,,570487.36,
PROJ-0003,2024,2024-01-25,Fees Cost,,289177.43,
PROJ-0003,2024,2024-01-25,Fees Margin,,281309.93,
PROJ-0003,2024,2024-01-25,Expenses Revenue,,11624.74,
PROJ-0003,2024,2024-01-25,Expenses Cost,,11624.74,
PROJ-0003,2024,2024-01-25,Expenses Margin,,0.0,
PROJ-0003,2024,2024-01-25,Risk Reserve - Revenue,,34781.66,
PROJ-0003,2024,2024-01-25,Risk Reserve - Cost,,34781.66,
PROJ-0003,2024,2024-01-25,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-01-25,Total Revenue,610484.03,616893.76,
PROJ-0003,2024,2024-01-25,Total Cost,331842.58,335583.83,
PROJ-0003,2024,2024-01-25,Total Margin,331842.58,281309.93,
PROJ-0003,2024,2024-02-22,Fees Revenue,,562427.74,
PROJ-0003,2024,2024-02-22,Fees Cost,,285207.86,
PROJ-0003,2024,2024-02-22,Fees Margin,,277219.88,
PROJ-0003,2024,2024-02-22,Expenses Revenue,,11761.32,
PROJ-0003,2024,2024-02-22,Expenses Cost,,11761.32,
PROJ-0003,2024,2024-02-22,Expenses Margin,,0.0,
PROJ-0003,2024,2024-02-22,Risk Reserve - Revenue,,34290.28,
PROJ-0003,2024,2024-02-22,Risk Reserve - Cost,,34290.28,
PROJ-0003,2024,2024-02-22,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-02-22,Total Revenue,610484.03,608479.34,
PROJ-0003,2024,2024-02-22,Total Cost,331842.58,331259.46,
PROJ-0003,2024,2024-02-22,Total Margin,331842.58,277219.88,
PROJ-0003,2024,2024-03-21,Fees Revenue,,579565.79,
PROJ-0003,2024,2024-03-21,Fees Cost,,293919.36,
PROJ-0003,2024,2024-03-21,Fees Margin,,285646.43,
PROJ-0003,2024,2024-03-21,Expenses Revenue,,13883.95,
PROJ-0003,2024,2024-03-21,Expenses Cost,,13883.95,
PROJ-0003,2024,2024-03-21,Expenses Margin,,0.0,
PROJ-0003,2024,2024-03-21,Risk Reserve - Revenue,,35335.15,
PROJ-0003,2024,2024-03-21,Risk Reserve - Cost,,35335.15,
PROJ-0003,2024,2024-03-21,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-03-21,Total Revenue,610484.03,628784.89,
PROJ-0003,2024,2024-03-21,Total Cost,331842.58,343138.46,
PROJ-0003,2024,2024-03-21,Total Margin,331842.58,285646.43,
PROJ-0003,2024,2024-04-18,Fees Revenue,,572525.06,
PROJ-0003,2024,2024-04-18,Fees Cost,,290430.97,
PROJ-0003,2024,2024-04-18,Fees Margin,,282094.09,
PROJ-0003,2024,2024-04-18,Expenses Revenue,,13627.53,
PROJ-0003,2024,2024-04-18,Expenses Cost,,13627.53,
PROJ-0003,2024,2024-04-18,Expenses Margin,,0.0,
PROJ-0003,2024,2024-04-18,Risk Reserve - Revenue,,34905.89,
PROJ-0003,2024,2024-04-18,Risk Reserve - Cost,,34905.89,
PROJ-0003,2024,2024-04-18,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-04-18,Total Revenue,610484.03,621058.48,
PROJ-0003,2024,2024-04-18,Total Cost,331842.58,338964.39,
PROJ-0003,2024,2024-04-18,Total Margin,331842.58,282094.09,
PROJ-0003,2024,2024-05-16,Fees Revenue,,587307.09,
PROJ-0003,2024,2024-05-16,Fees Cost,,297131.25,
PROJ-0003,2024,2024-05-16,Fees Margin,,290175.84,
PROJ-0003,2024,2024-05-16,Expenses Revenue,,12382.29,
PROJ-0003,2024,2024-05-16,Expenses Cost,,12382.29,
PROJ-0003,2024,2024-05-16,Expenses Margin,,0.0,
PROJ-0003,2024,2024-05-16,Risk Reserve - Revenue,,35807.13,
PROJ-0003,2024,2024-05-16,Risk Reserve - Cost,,35807.13,
PROJ-0003,2024,2024-05-16,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-05-16,Total Revenue,610484.03,635496.51,
PROJ-0003,2024,2024-05-16,Total Cost,331842.58,345320.67,
PROJ-0003,2024,2024-05-16,Total Margin,331842.58,290175.84,
PROJ-0003,2024,2024-06-13,Fees Revenue,,596299.03,
PROJ-0003,2024,2024-06-13,Fees Cost,,302335.28,
PROJ-0003,2024,2024-06-13,Fees Margin,,293963.75,
PROJ-0003,2024,2024-06-13,Expenses Revenue,,10919.23,
PROJ-0003,2024,2024-06-13,Expenses Cost,,10919.23,
PROJ-0003,2024,2024-06-13,Expenses Margin,,0.0,
PROJ-0003,2024,2024-06-13,Risk Reserve - Revenue,,36355.35,
PROJ-0003,2024,2024-06-13,Risk Reserve - Cost,,36355.35,
PROJ-0003,2024,2024-06-13,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-06-13,Total Revenue,610484.03,643573.61,
PROJ-0003,2024,2024-06-13,Total Cost,331842.58,349609.86,
PROJ-0003,2024,2024-06-13,Total Margin,331842.58,293963.75,
PROJ-0003,2024,2024-07-11,Fees Revenue,,589100.76,
PROJ-0003,2024,2024-07-11,Fees Cost,,299474.8,
PROJ-0003,2024,2024-07-11,Fees Margin,,289625.96,
PROJ-0003,2024,2024-07-11,Expenses Revenue,,12205.82,
PROJ-0003,2024,2024-07-11,Expenses Cost,,12205.82,
PROJ-0003,2024,2024-07-11,Expenses Margin,,0.0,
PROJ-0003,2024,2024-07-11,Risk Reserve - Revenue,,35916.49,
PROJ-0003,2024,2024-07-11,Risk Reserve - Cost,,35916.49,
PROJ-0003,2024,2024-07-11,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-07-11,Total Revenue,610484.03,637223.07,
PROJ-0003,2024,2024-07-11,Total Cost,331842.58,347597.11,
PROJ-0003,2024,2024-07-11,Total Margin,331842.58,289625.96,
PROJ-0003,2024,2024-08-08,Fees Revenue,,588771.64,
PROJ-0003,2024,2024-08-08,Fees Cost,,297508.78,
PROJ-0003,2024,2024-08-08,Fees Margin,,291262.86,
PROJ-0003,2024,2024-08-08,Expenses Revenue,,11405.22,
PROJ-0003,2024,2024-08-08,Expenses Cost,,11405.22,
PROJ-0003,2024,2024-08-08,Expenses Margin,,0.0,
PROJ-0003,2024,2024-08-08,Risk Reserve - Revenue,,35896.42,
PROJ-0003,2024,2024-08-08,Risk Reserve - Cost,,35896.42,
PROJ-0003,2024,2024-08-08,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-08-08,Total Revenue,610484.03,636073.28,
PROJ-0003,2024,2024-08-08,Total Cost,331842.58,344810.42,
PROJ-0003,2024,2024-08-08,Total Margin,331842.58,291262.86,
PROJ-0003,2024,2024-09-05,Fees Revenue,,591215.32,
PROJ-0003,2024,2024-09-05,Fees Cost,,299027.84,
PROJ-0003,2024,2024-09-05,Fees Margin,,292187.48,
PROJ-0003,2024,2024-09-05,Expenses Revenue,,14358.96,
PROJ-0003,2024,2024-09-05,Expenses Cost,,14358.96,
PROJ-0003,2024,2024-09-05,Expenses Margin,,0.0,
PROJ-0003,2024,2024-09-05,Risk Reserve - Revenue,,36045.41,
PROJ-0003,2024,2024-09-05,Risk Reserve - Cost,,36045.41,
PROJ-0003,2024,2024-09-05,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-09-05,Total Revenue,610484.03,641619.69,
PROJ-0003,2024,2024-09-05,Total Cost,331842.58,349432.21,
PROJ-0003,2024,2024-09-05,Total Margin,331842.58,292187.48,
PROJ-0003,2024,2024-10-03,Fees Revenue,,562474.89,
PROJ-0003,2024,2024-10-03,Fees Cost,,284662.23,
PROJ-0003,2024,2024-10-03,Fees Margin,,277812.66,
PROJ-0003,2024,2024-10-03,Expenses Revenue,,9390.98,
PROJ-0003,2024,2024-10-03,Expenses Cost,,9390.98,
PROJ-0003,2024,2024-10-03,Expenses Margin,,0.0,
PROJ-0003,2024,2024-10-03,Risk Reserve - Revenue,,34293.15,
PROJ-0003,2024,2024-10-03,Risk Reserve - Cost,,34293.15,
PROJ-0003,2024,2024-10-03,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-10-03,Total Revenue,610484.03,606159.02,
PROJ-0003,2024,2024-10-03,Total Cost,331842.58,328346.36,
PROJ-0003,2024,2024-10-03,Total Margin,331842.58,277812.66,
PROJ-0003,2024,2024-10-31,Fees Revenue,,596323.42,
PROJ-0003,2024,2024-10-31,Fees Cost,,301254.24,
PROJ-0003,2024,2024-10-31,Fees Margin,,295069.18,
PROJ-0003,2024,2024-10-31,Expenses Revenue,,11625.37,
PROJ-0003,2024,2024-10-31,Expenses Cost,,11625.37,
PROJ-0003,2024,2024-10-31,Expenses Margin,,0.0,
PROJ-0003,2024,2024-10-31,Risk Reserve - Revenue,,36356.84,
PROJ-0003,2024,2024-10-31,Risk Reserve - Cost,,36356.84,
PROJ-0003,2024,2024-10-31,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-10-31,Total Revenue,610484.03,644305.63,
PROJ-0003,2024,2024-10-31,Total Cost,331842.58,349236.45,
PROJ-0003,2024,2024-10-31,Total Margin,331842.58,295069.18,
PROJ-0003,2024,2024-11-28,Fees Revenue,,596154.47,
PROJ-0003,2024,2024-11-28,Fees Cost,,301380.79,
PROJ-0003,2024,2024-11-28,Fees Margin,,294773.68,
PROJ-0003,2024,2024-11-28,Expenses Revenue,,13156.41,
PROJ-0003,2024,2024-11-28,Expenses Cost,,13156.41,
PROJ-0003,2024,2024-11-28,Expenses Margin,,0.0,
PROJ-0003,2024,2024-11-28,Risk Reserve - Revenue,,36346.54,
PROJ-0003,2024,2024-11-28,Risk Reserve - Cost,,36346.54,
PROJ-0003,2024,2024-11-28,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-11-28,Total Revenue,610484.03,645657.42,
PROJ-0003,2024,2024-11-28,Total Cost,331842.58,350883.74,
PROJ-0003,2024,2024-11-28,Total Margin,331842.58,294773.68,
PROJ-0003,2024,2024-12-26,Fees Revenue,,585225.08,
PROJ-0003,2024,2024-12-26,Fees Cost,,296023.77,
PROJ-0003,2024,2024-12-26,Fees Margin,,289201.31,
PROJ-0003,2024,2024-12-26,Expenses Revenue,,12498.93,
PROJ-0003,2024,2024-12-26,Expenses Cost,,12498.93,
PROJ-0003,2024,2024-12-26,Expenses Margin,,0.0,
PROJ-0003,2024,2024-12-26,Risk Reserve - Revenue,,35680.19,
PROJ-0003,2024,2024-12-26,Risk Reserve - Cost,,35680.19,
PROJ-0003,2024,2024-12-26,Risk Reserve - Margin,,0.0,
PROJ-0003,2024,2024-12-26,Total Revenue,610484.03,633404.2,
PROJ-0003,2024,2024-12-26,Total Cost,331842.58,344202.89,
PROJ-0003,2024,2024-12-26,Total Margin,331842.58,289201.31,
PROJ-0003,2025,2025-01-23,Fees Revenue,,,581882.09
PROJ-0003,2025,2025-01-23,Fees Cost,,,294628.97
PROJ-0003,2025,2025-01-23,Fees Margin,,,287253.12
PROJ-0003,2025,2025-01-23,Expenses Revenue,,,30256.49
PROJ-0003,2025,2025-01-23,Expenses Cost,,,30256.49
PROJ-0003,2025,2025-01-23,Expenses Margin,,,0.0
PROJ-0003,2025,2025-01-23,Risk Reserve - Revenue,,,69397.88
PROJ-0003,2025,2025-01-23,Risk Reserve - Cost,,,69397.88
PROJ-0003,2025,2025-01-23,Risk Reserve - Margin,,,0.0
PROJ-0003,2025,2025-01-23,Total Revenue,,,681536.46
PROJ-0003,2025,2025-01-23,Total Cost,,,394283.34
PROJ-0003,2025,2025-01-23,Total Margin,,,287253.12
PROJ-0003,2025,2025-02-20,Fees Revenue,,,570047.96
PROJ-0003,2025,2025-02-20,Fees Cost,,,289112.2
PROJ-0003,2025,2025-02-20,Fees Margin,,,280935.76
PROJ-0003,2025,2025-02-20,Expenses Revenue,,,32006.46
PROJ-0003,2025,2025-02-20,Expenses Cost,,,32006.46
PROJ-0003,2025,2025-02-20,Expenses Margin,,,0.0
PROJ-0003,2025,2025-02-20,Risk Reserve - Revenue,,,67986.49
PROJ-0003,2025,2025-02-20,Risk Reserve - Cost,,,67986.49
PROJ-0003,2025,2025-02-20,Risk Reserve - Margin,,,0.0
PROJ-0003,2025,2025-02-20,Total Revenue,,,670040.91
PROJ-0003,2025,2025-02-20,Total Cost,,,389105.15
PROJ-0003,2025,2025-02-20,Total Margin,,,280935.76
PROJ-0003,2025,2025-03-20,Fees Revenue,,,578887.53
PROJ-0003,2025,2025-03-20,Fees Cost,,,293437.97
PROJ-0003,2025,2025-03-20,Fees Margin,,,285449.56
PROJ-0003,2025,2025-03-20,Expenses Revenue,,,26344.68
PROJ-0003,2025,2025-03-20,Expenses Cost,,,26344.68
PROJ-0003,2025,2025-03-20,Expenses Margin,,,0.0
PROJ-0003,2025,2025-03-20,Risk Reserve - Revenue,,,69040.73
PROJ-0003,2025,2025-03-20,Risk Reserve - Cost,,,69040.73
PROJ-0003,2025,2025-03-20,Risk Reserve - Margin,,,0.0
PROJ-0003,2025,2025-03-20,Total Revenue,,,674272.94
PROJ-0003,2025,2025-03-20,Total Cost,,,388823.38
PROJ-0003,2025,2025-03-20,Total Margin,,,285449.56
PROJ-0003,2025,2025-04-17,Fees Revenue,,,571000.43
PROJ-0003,2025,2025-04-17,Fees Cost,,,289724.89
PROJ-0003,2025,2025-04-17,Fees Margin,,,281275.54
PROJ-0003,2025,2025-04-17,Expenses Revenue,,,32973.78
PROJ-0003,2025,2025-04-17,Expenses Cost,,,32973.78
PROJ-0003,2025,2025-04-17,Expenses Margin,,,0.0
PROJ-0003,2025,2025-04-17,Risk Reserve - Revenue,,,68100.08
PROJ-0003,2025,2025-04-17,Risk Reserve - Cost,,,68100.08
PROJ-0003,2025,2025-04-17,Risk Reserve - Margin,,,0.0
PROJ-0003,2025,2025-04-17,Total Revenue,,,672074.29
PROJ-0003,2025,2025-04-17,Total Cost,,,390798.75
PROJ-0003,2025,2025-04-17,Total Margin,,,281275.54
PROJ-0003,2025,2025-05-15,Fees Revenue,,,569270.18
PROJ-0003,2025,2025-05-15,Fees Cost,,,288599.7
PROJ-0003,2025,2025-05-15,Fees Margin,,,280670.48
PROJ-0003,2025,2025-05-15,Expenses Revenue,,,33734.06
PROJ-0003,2025,2025-05-15,Expenses Cost,,,33734.06
PROJ-0003,2025,2025-05-15,Expenses Margin,,,0.0
PROJ-0003,2025,2025-05-15,Risk Reserve - Revenue,,,67893.72
PROJ-0003,2025,2025-05-15,Risk Reserve - Cost,,,67893.72
PROJ-0003,2025,2025-05-15,Risk Reserve - Margin,,,0.0
PROJ-0003,2025,2025-05-15,Total Revenue,,,670897.96
PROJ-0003,2025,2025-05-15,Total Cost,,,390227.48
PROJ-0003,2025,2025-05-15,Total Margin,,,280670.48
PROJ-0004,2023,2023-08-09,Fees Revenue,,313605.53,
PROJ-0004,2023,2023-08-09,Fees Cost,,157604.23,
PROJ-0004,2023,2023-08-09,Fees Margin,,156001.3,
PROJ-0004,2023,2023-08-09,Expenses Revenue,,15729.8,
PROJ-0004,2023,2023-08-09,Expenses Cost,,15729.8,
PROJ-0004,2023,2023-08-09,Expenses Margin,,0.0,
PROJ-0004,2023,2023-08-09,Risk Reserve - Revenue,,0.0,
PROJ-0004,2023,2023-08-09,Risk Reserve - Cost,,0.0,
PROJ-0004,2023,2023-08-09,Risk Reserve - Margin,,0.0,
PROJ-0004,2023,2023-08-09,Total Revenue,338520.94,329335.33,
PROJ-0004,2023,2023-08-09,Total Cost,180059.15,173334.03,
PROJ-0004,2023,2023-08-09,Total Margin,180059.15,156001.3,
PROJ-0004,2023,2023-09-06,Fees Revenue,,294280.73,
PROJ-0004,2023,2023-09-06,Fees Cost,,148440.63,
PROJ-0004,2023,2023-09-06,Fees Margin,,145840.1,
PROJ-0004,2023,2023-09-06,Expenses Revenue,,16926.41,
PROJ-0004,2023,2023-09-06,Expenses Cost,,16926.41,
PROJ-0004,2023,2023-09-06,Expenses Margin,,0.0,
PROJ-0004,2023,2023-09-06,Risk Reserve - Revenue,,0.0,
PROJ-0004,2023,2023-09-06,Risk Reserve - Cost,,0.0,
PROJ-0004,2023,2023-09-06,Risk Reserve - Margin,,0.0,
PROJ-0004,2023,2023-09-06,Total Revenue,338520.94,311207.14,
PROJ-0004,2023,2023-09-06,Total Cost,180059.15,165367.04,
PROJ-0004,2023,2023-09-06,Total Margin,180059.15,145840.1,
PROJ-0004,2023,2023-10-04,Fees Revenue,,308734.8,
PROJ-0004,2023,2023-10-04,Fees Cost,,154600.52,
PROJ-0004,2023,2023-10-04,Fees Margin,,154134.28,
PROJ-0004,2023,2023-10-04,Expenses Revenue,,17977.74,
PROJ-0004,2023,2023-10-04,Expenses Cost,,17977.74,
PROJ-0004,2023,2023-10-04,Expenses Margin,,0.0,
PROJ-0004,2023,2023-10-04,Risk Reserve - Revenue,,0.0,
PROJ-0004,2023,2023-10-04,Risk Reserve - Cost,,0.0,
PROJ-0004,2023,2023-10-04,Risk Reserve - Margin,,0.0,
PROJ-0004,2023,2023-10-04,Total Revenue,338520.94,326712.54,
PROJ-0004,2023,2023-10-04,Total Cost,180059.15,172578.26,
PROJ-0004,2023,2023-10-04,Total Margin,180059.15,154134.28,
PROJ-0004,2023,2023-11-01,Fees Revenue,,306993.65,
PROJ-0004,2023,2023-11-01,Fees Cost,,155072.46,
PROJ-0004,2023,2023-11-01,Fees Margin,,151921.19,
PROJ-0004,2023,2023-11-01,Expenses Revenue,,18033.27,
PROJ-0004,2023,2023-11-01,Expenses Cost,,18033.27,
PROJ-0004,2023,2023-11-01,Expenses Margin,,0.0,
PROJ-0004,2023,2023-11-01,Risk Reserve - Revenue,,0.0,
PROJ-0004,2023,2023-11-01,Risk Reserve - Cost,,0.0,
PROJ-0004,2023,2023-11-01,Risk Reserve - Margin,,0.0,
PROJ-0004,2023,2023-11-01,Total Revenue,338520.94,325026.92,
